filename	factorName	cellLine	pos	whm.	whm..1	delta	height	height_norm	avg	bgr	sig_to_noise
CBX3-human_K562_ENCFF000PXA-flat80-peaklist.text	CBX3	K562	5206	5097	5292	195	2.70621212121	2.34080844156	0.860608158848	-0.974945887446	5.53113814443
CBX3-human_K562_ENCFF000PXB-flat80-peaklist.text	CBX3	K562	2045	2016	2106	90	1.98750996016	1.31567330677	1.36833698174	0.0463944223108	3.17035276731
CBX3-human_K562_ENCFF000PXB-flat80-peaklist.text	CBX3	K562	5205	5059	5301	242	1.82794820717	1.15611155378	0.321476480908	-1.05562749004	3.82180900464
CBX3-human_K562_ENCFF000PXB-flat80-peaklist.text	CBX3	K562	5697	5681	5747	66	1.99019920319	1.3183625498	1.16912320866	-0.37014940239	4.0589681036
CBX3-human_K562_ENCFF289YVH-flat80-peaklist.text	CBX3	K562	2047	2014	2112	98	2.08666666667	1.47906666667	1.38753367003	-0.03875	2.898542608
CBX3-human_K562_ENCFF289YVH-flat80-peaklist.text	CBX3	K562	5205	5171	5243	72	2.03166666667	1.42406666667	1.20638127854	-0.13625	3.34416432623
CBX3-human_K562_ENCFF289YVH-flat80-peaklist.text	CBX3	K562	5694	5643	5729	86	2.12	1.5124	1.51864942529	0.0120833333333	2.9672080754
CBX3-human_K562_ENCFF607PEE-flat80-peaklist.text	CBX3	K562	2048	2015	2106	91	2.05942386831	1.45457777778	1.37327205225	-0.0488477366255	3.30295134084
CBX3-human_K562_ENCFF607PEE-flat80-peaklist.text	CBX3	K562	5204	5169	5268	99	1.78814814815	1.18330205761	1.00856296296	-0.149423868313	2.99999533465
CBX3-human_K562_ENCFF607PEE-flat80-peaklist.text	CBX3	K562	5694	5643	5730	87	2.28224279835	1.67739670782	1.51772002432	0.00322016460905	2.89270606869
CBX3-human_K562_ENCFF971ILL-flat80-peaklist.text	CBX3	K562	37	16	104	88	1.66892857143	1.27340714286	1.29041532905	0.557857142857	1.57599003022
CBX3-human_K562_ENCFF971ILL-flat80-peaklist.text	CBX3	K562	484	329	640	311	2.10053571429	1.70501428571	1.53273752289	0.524107142857	1.95018775078
CBX3-human_K562_ENCFF971ILL-flat80-peaklist.text	CBX3	K562	2069	2020	2130	110	2.57446428571	2.17894285714	1.63216216216	0.0816071428571	3.74384235996
CBX3-human_K562_ENCFF971ILL-flat80-peaklist.text	CBX3	K562	5206	5174	5277	103	2.81267857143	2.41715714286	1.5912396978	-0.117589285714	4.36892160744
CBX3-human_K562_ENCFF971ILL-flat80-peaklist.text	CBX3	K562	5686	5651	5735	84	1.43857142857	1.04305	0.820394957983	-0.234553571429	2.32485101147
CBX3-human_K562_ENCFF977GVI-flat80-peaklist.text	CBX3	K562	36	17	120	103	1.57988789238	1.17658834081	1.2545235426	0.631065022422	1.3840774205
CBX3-human_K562_ENCFF977GVI-flat80-peaklist.text	CBX3	K562	256	198	298	100	1.68993273543	1.28663318386	1.44409359322	0.900112107623	1.40929726726
CBX3-human_K562_ENCFF977GVI-flat80-peaklist.text	CBX3	K562	480	333	684	351	1.9582735426	1.55497399103	1.40526752956	0.479215246637	2.15887432675
CBX3-human_K562_ENCFF977GVI-flat80-peaklist.text	CBX3	K562	2073	2019	2131	112	2.38224215247	1.9789426009	1.55634152149	-0.0157735426009	4.17836650674
CBX3-human_K562_ENCFF977GVI-flat80-peaklist.text	CBX3	K562	5206	5176	5274	98	2.8181838565	2.41488430493	1.66259297006	-0.0999887892377	5.09804168976
CBX5-human_GM12878_ENCFF389CJX-flat80-peaklist.text	CBX5	GM12878	2072	1998	2122	124	2.09950936811	1.58017715434	1.45652421878	0.0152293457144	2.21777021473
CBX5-human_GM12878_ENCFF389CJX-flat80-peaklist.text	CBX5	GM12878	5216	5173	5265	92	4.32124864171	3.80191642794	2.9373048422	0.276844808851	4.46793429655
CBX5-human_GM12878_ENCFF626FVT-flat80-peaklist.text	CBX5	GM12878	5212	5170	5281	111	3.54488279017	2.95757575758	2.25489820714	-0.0686106346484	2.16969809217
CBX5-human_GM12878_ENCFF669GJB-flat80-peaklist.text	CBX5	GM12878	5222	5086	5271	185	2.31023483728	1.80590051775	1.17547430728	-0.268121301775	3.04644644761
CBX5-human_GM12878_ENCFF692MUQ-flat80-peaklist.text	CBX5	GM12878	5208	5113	5258	145	2.68229166667	2.06895833333	1.49559686888	-0.0712425595238	3.56989651174
CBX5-human_K562_ENCFF532CRC-flat80-peaklist.text	CBX5	K562	5218	5170	5271	101	1.54095102421	1.11267373597	0.993577323626	0.00947232976805	1.97998752749
CEBPB-human_A549_ENCFF038HOX-flat80-peaklist.text	CEBPB	A549	190	79	284	205	1.67818181818	1.23861818182	0.980333921742	0.080303030303	1.97569282855
CEBPB-human_A549_ENCFF038HOX-flat80-peaklist.text	CEBPB	A549	5576	5552	5609	57	1.51060606061	1.07104242424	1.05280041797	0.303939393939	1.63751647442
CEBPB-human_A549_ENCFF466UIS-flat80-peaklist.text	CEBPB	A549	186	109	277	168	2.12907290729	1.84182178218	1.16881960385	0.154455445545	2.6024354291
CEBPB-human_A549_ENCFF466UIS-flat80-peaklist.text	CEBPB	A549	5581	5402	5724	322	1.51443144314	1.22718031803	0.673189300354	-0.116591659166	1.66837418201
CEBPB-human_H1-hESC_ENCFF023RMT-flat80-peaklist.text	CEBPB	H1-hESC	201	141	302	161	2.96365840448	2.79662067009	1.8366151868	0.42515024116	3.74194194958
CEBPB-human_H1-hESC_ENCFF023RMT-flat80-peaklist.text	CEBPB	H1-hESC	429	367	518	151	1.47130587295	1.30426813856	1.15364271179	0.433597276315	1.47400751226
CEBPB-human_H1-hESC_ENCFF144SYZ-flat80-peaklist.text	CEBPB	H1-hESC	199	112	320	208	2.65979885839	2.46108616472	1.83389781132	0.509758086437	3.02711571448
CEBPB-human_H1-hESC_ENCFF144SYZ-flat80-peaklist.text	CEBPB	H1-hESC	435	351	581	230	2.24378907312	2.04507637945	1.63799875037	0.739766240826	2.1291658133
CEBPB-human_H1-hESC_ENCFF243WEK-flat80-peaklist.text	CEBPB	H1-hESC	193	111	319	208	2.92120950557	2.70289051331	1.81081551632	0.556820327462	3.69095194103
CEBPB-human_H1-hESC_ENCFF243WEK-flat80-peaklist.text	CEBPB	H1-hESC	475	351	512	161	2.37668923475	2.15837024249	1.81442802372	0.810117875543	2.56449487831
CEBPB-human_H1-hESC_ENCFF702PMJ-flat80-peaklist.text	CEBPB	H1-hESC	198	137	303	166	2.95519847309	2.75719481055	1.76495596669	0.329563333419	4.31580294194
CEBPB-human_H1-hESC_ENCFF702PMJ-flat80-peaklist.text	CEBPB	H1-hESC	424	371	503	132	1.57019421733	1.3721905548	1.18968483342	0.384269170256	1.78872275385
CEBPB-human_HepG2_ENCFF270RFR-flat80-peaklist.text	CEBPB	HepG2	192	98	294	196	5.32236049779	4.83177519069	3.01863235567	0.689000401445	5.32953040428
CEBPB-human_HepG2_ENCFF270RFR-flat80-peaklist.text	CEBPB	HepG2	2232	2173	2342	169	3.04873544761	2.55815014051	1.83566628096	-0.234363709354	3.86351666872
CEBPB-human_HepG2_ENCFF270RFR-flat80-peaklist.text	CEBPB	HepG2	5104	5069	5134	65	2.66278602971	2.1722007226	1.78033283457	-0.0492974708952	3.2953542453
CEBPB-human_HepG2_ENCFF270RFR-flat80-peaklist.text	CEBPB	HepG2	5580	5548	5614	66	2.57133681253	2.08075150542	1.64152621078	0.0715375351265	2.6103601107
CEBPB-human_HepG2_ENCFF404WAE-flat80-peaklist.text	CEBPB	HepG2	183	53	285	232	1.58262236663	1.28710617336	0.942020635585	0.228508542082	1.47038558258
CEBPB-human_HepG2_ENCFF404WAE-flat80-peaklist.text	CEBPB	HepG2	464	369	552	183	2.11881354156	1.82329734829	1.31076714682	0.268693009119	1.88464287362
CEBPB-human_HepG2_ENCFF771OJT-flat80-peaklist.text	CEBPB	HepG2	195	95	301	206	5.50730106645	4.99470795734	3.04655673257	0.681952420016	4.43393326169
CEBPB-human_HepG2_ENCFF771OJT-flat80-peaklist.text	CEBPB	HepG2	2233	2177	2337	160	3.23535684988	2.72276374077	2.08104596477	-0.22863002461	3.30944937053
CEBPB-human_HepG2_ENCFF771OJT-flat80-peaklist.text	CEBPB	HepG2	5109	5041	5159	118	2.37202625103	1.85943314192	1.18873922005	-0.449220672683	2.96589443521
CEBPB-human_HepG2_ENCFF771OJT-flat80-peaklist.text	CEBPB	HepG2	5582	5543	5647	104	2.46103363413	1.94844052502	1.39580217977	-0.0435192780968	2.30502572944
CEBPB-human_HepG2_ENCFF876HLQ-flat80-peaklist.text	CEBPB	HepG2	456	369	546	177	2.02050439981	1.32330596606	1.35996450061	0.414866742453	1.57063262482
CEBPB-human_IMR-90_ENCFF056XVT-flat80-peaklist.text	CEBPB	IMR-90	5578	5547	5689	142	1.82806372549	1.34463970588	1.25428750171	0.148100490196	1.73153094228
CEBPB-human_IMR-90_ENCFF359YHS-flat80-peaklist.text	CEBPB	IMR-90	5576	5530	5617	87	2.11299622241	1.60100404268	1.42566830744	0.431141891444	2.63631809036
CEBPB-human_IMR-90_ENCFF508INT-flat80-peaklist.text	CEBPB	IMR-90	5103	5039	5137	98	1.53005500696	1.00551395056	0.900318715018	-0.187984624561	2.22526198315
CEBPB-human_IMR-90_ENCFF508INT-flat80-peaklist.text	CEBPB	IMR-90	5572	5523	5642	119	1.76028895222	1.23574789582	1.12680539908	0.258068791835	1.97483362004
CEBPB-human_K562_ENCFF197ZMK-flat80-peaklist.text	CEBPB	K562	190	147	320	173	2.0331959707	1.64254578755	1.40166598248	0.484375	1.70717749824
CEBPB-human_K562_ENCFF443POA-flat80-peaklist.text	CEBPB	K562	189	75	320	245	1.9005205321	1.51533314054	1.23219046679	0.4003470214	1.40330280433
CEBPB-human_K562_ENCFF523MPI-flat80-peaklist.text	CEBPB	K562	189	82	298	216	2.90468937004	2.4337134153	1.80558871707	0.463388097051	2.78380444624
CEBPB-human_K562_ENCFF523MPI-flat80-peaklist.text	CEBPB	K562	458	380	498	118	1.86497660755	1.39400065281	1.33404984233	0.527472527473	1.65233404417
CEBPB-human_K562_ENCFF523MPI-flat80-peaklist.text	CEBPB	K562	5111	5051	5169	118	1.57001414427	1.09903818953	0.829178891663	-0.258323359809	2.27143051053
CEBPB-human_K562_ENCFF763YQX-flat80-peaklist.text	CEBPB	K562	195	75	297	222	2.78815628816	2.40885780886	1.78516077843	0.443251193251	2.1591359169
CEBPB-human_K562_ENCFF763YQX-flat80-peaklist.text	CEBPB	K562	5113	5026	5152	126	1.81302031302	1.43372183372	0.880782821728	-0.295010545011	2.01631611997
CEBPB-human_K562_ENCFF897GTJ-flat80-peaklist.text	CEBPB	K562	190	155	297	142	2.72425925926	2.36001851852	2.01232582233	0.675925925926	1.43509395083
CEBPB-human_MCF-7_ENCFF000QLL-flat80-peaklist.text	CEBPB	MCF-7	200	159	249	90	1.78104954015	1.35688615813	1.29644553607	0.35286730041	1.7603380716
CEBPB-human_MCF-7_ENCFF000QLL-flat80-peaklist.text	CEBPB	MCF-7	469	376	563	187	1.46205270886	1.03788932684	0.757354476735	0.00235721462246	1.66727005413
CEBPB-human_MCF-7_ENCFF000QLO-flat80-peaklist.text	CEBPB	MCF-7	195	138	259	121	6.59867050041	6.28701363792	4.32865762661	0.627027882561	9.50293048746
CEBPB-human_MCF-7_ENCFF000QLO-flat80-peaklist.text	CEBPB	MCF-7	464	343	564	221	2.78197789443	2.47032103194	1.75178372865	0.561370650769	3.18266940585
CEBPB-human_MCF-7_ENCFF000QLO-flat80-peaklist.text	CEBPB	MCF-7	5100	5048	5164	116	1.95394233559	1.64228547311	1.03384082394	-0.378155583107	3.58453542742
CEBPD-human_HepG2_ENCFF096COW-flat80-peaklist.text	CEBPD	HepG2	116	43	247	204	4.84975369458	4.16681318681	3.57821791329	1.61614247821	1.70352633954
CEBPD-human_HepG2_ENCFF096COW-flat80-peaklist.text	CEBPD	HepG2	402	357	505	148	7.17620310724	6.49326259947	5.55405240443	2.735790072	2.9262338725
CEBPD-human_HepG2_ENCFF096COW-flat80-peaklist.text	CEBPD	HepG2	716	598	795	197	5.61898446381	4.93604395604	3.91330795641	1.65375142099	2.05315903761
CEBPD-human_HepG2_ENCFF096COW-flat80-peaklist.text	CEBPD	HepG2	1160	1115	1196	81	2.71788556271	2.03494505495	1.90723574155	0.17061386889	1.64699626346
CEBPD-human_HepG2_ENCFF096COW-flat80-peaklist.text	CEBPD	HepG2	1817	1776	1868	92	1.76032588102	1.07738537325	0.937682080619	-0.368416066692	1.441827783
CEBPD-human_HepG2_ENCFF096COW-flat80-peaklist.text	CEBPD	HepG2	5875	5844	5927	83	2.43766578249	1.75472527473	1.24415137408	-0.352500947329	1.8166947578
CEBPD-human_HepG2_ENCFF671GFD-flat80-peaklist.text	CEBPD	HepG2	475	370	502	132	8.10515346722	7.52580522925	5.72980195848	2.49478969307	2.02012152651
CEBPD-human_HepG2_ENCFF671GFD-flat80-peaklist.text	CEBPD	HepG2	716	610	802	192	5.77283061766	5.19348237969	4.11990921353	1.63906782872	1.57919617987
CEBPD-human_HepG2_ENCFF671GFD-flat80-peaklist.text	CEBPD	HepG2	1165	1095	1200	105	3.29973474801	2.72038651004	2.05544731781	-0.179045092838	1.65243085423
CHD1-human_H1-hESC_ENCFF000AVD-flat80-peaklist.text	CHD1	H1-hESC	225	116	298	182	3.70056999038	3.32888000592	2.79396815804	1.15219483307	1.9066450237
CHD2-human_H1-hESC_ENCFF361ORC-flat80-peaklist.text	CHD2	H1-hESC	428	356	503	147	3.85198763251	3.66975	3.02281912544	1.12519876325	4.52559628724
CHD2-human_H1-hESC_ENCFF603TTS-flat80-peaklist.text	CHD2	H1-hESC	433	351	621	270	5.92632986343	5.75431821221	3.39500740228	0.514946041448	9.79636075017
CHD2-human_H1-hESC_ENCFF661KZA-flat80-peaklist.text	CHD2	H1-hESC	429	338	627	289	5.9321516362	5.77592756184	3.38261160939	0.345415962513	8.43649368799
CHD2-human_H1-hESC_ENCFF993BPP-flat80-peaklist.text	CHD2	H1-hESC	428	212	633	421	3.8904369996	3.71436351031	2.12032942597	0.321062754395	5.76955926306
CHD2-human_HepG2_ENCFF175XZF-flat80-peaklist.text	CHD2	HepG2	457	394	505	111	2.36883398941	2.07985611511	1.80862048905	0.682204425139	2.38588079753
CHD2-human_HepG2_ENCFF188LZR-flat80-peaklist.text	CHD2	HepG2	457	361	503	142	2.30908604309	2.0595035461	1.62092268764	0.634162986752	2.47449138362
CHD2-human_HepG2_ENCFF633NXO-flat80-peaklist.text	CHD2	HepG2	450	368	502	134	2.13057271665	1.82910335615	1.44806688806	0.67892803473	1.47316144589
CHD2-human_K562_ENCFF009AWH-flat80-peaklist.text	CHD2	K562	451	347	493	146	2.68770660234	2.46330161708	1.94324471502	0.821004199053	2.68308696707
CHD2-human_K562_ENCFF072EPY-flat80-peaklist.text	CHD2	K562	446	358	512	154	5.57452547453	5.31517482517	3.53706293706	0.842607392607	4.83786882786
CHD2-human_K562_ENCFF388XUR-flat80-peaklist.text	CHD2	K562	447	346	520	174	5.42907092907	5.17258741259	3.35715941202	0.592007992008	6.12603817032
CHD2-human_K562_ENCFF790ZVP-flat80-peaklist.text	CHD2	K562	447	244	573	329	2.63249864889	2.35434516303	1.50500210172	0.333318321023	2.51553346444
CHD4-human_A549_ENCFF110YOV-flat80-peaklist.text	CHD4	A549	5716	5491	5849	358	1.69702847215	1.11700405889	1.27454376845	0.329013584555	3.15249877891
CHD4-human_A549_ENCFF933GIN-flat80-peaklist.text	CHD4	A549	5651	5497	5849	352	1.64832774674	1.1373273743	1.24495424692	0.365597765363	2.58640314395
CREB1-human_HepG2_ENCFF000PGX-flat80-peaklist.text	CREB1	HepG2	448	401	532	131	4.00275199655	3.75720051802	2.40106588767	0.337119576948	6.01406196708
CREB1-human_MCF-7_ENCFF220OFM-flat80-peaklist.text	CREB1	MCF-7	5275	4986	5436	450	1.34204242169	1.05795475297	0.732533936074	-0.320644019206	7.04745879778
CREB1-human_MCF-7_ENCFF653KYN-flat80-peaklist.text	CREB1	MCF-7	5275	5021	5394	373	1.45283221669	1.13864198214	0.855303044382	-0.300336133359	5.16024158448
CREB3L1-human_K562_ENCFF926PJS-flat80-peaklist.text	CREB3L1	K562	271	85	342	257	1.21923934282	1.03121749181	0.932235778567	0.528026988102	2.15548204648
CREBBP-human_K562_ENCFF000BVH-flat80-peaklist.text	CREBBP	K562	2577	2473	2681	208	2.29842342342	1.79618993994	1.08443072259	-0.250093843844	1.93593723218
CREBBP-human_K562_ENCFF000BVH-flat80-peaklist.text	CREBBP	K562	3194	3147	3242	95	2.11448948949	1.61225600601	1.3607787475	-0.0625	1.8627387533
CREBBP-human_K562_ENCFF000BVH-flat80-peaklist.text	CREBBP	K562	5073	5049	5086	37	2.49305555556	1.99082207207	1.89257349455	0.200825825826	1.84297684833
CREM-human_K562_ENCFF146TUI-flat80-peaklist.text	CREM	K562	414	377	578	201	2.00942674499	1.78468705022	1.53005114375	0.45588101814	1.90894769691
CREM-human_K562_ENCFF147ZCC-flat80-peaklist.text	CREM	K562	419	346	574	228	2.215625	1.9650625	1.68355167394	0.8265625	1.71474031015
CREM-human_K562_ENCFF358BPA-flat80-peaklist.text	CREM	K562	420	362	577	215	2.09486053719	1.87009555785	1.61964722987	0.725594008264	1.47914822163
CREM-human_K562_ENCFF578BYK-flat80-peaklist.text	CREM	K562	413	374	582	208	2.12048176964	1.86364489169	1.50181474674	0.360080819743	2.87478241154
CTBP1-human_K562_ENCFF092XAM-flat80-peaklist.text	CTBP1	K562	218	77	324	247	3.17214109462	2.92858197484	2.49274459419	1.18917115003	4.02886303128
CTBP1-human_K562_ENCFF092XAM-flat80-peaklist.text	CTBP1	K562	451	328	546	218	3.48964443186	3.24608531208	2.80149758981	1.4100562275	4.57555813039
CTBP1-human_K562_ENCFF646WCS-flat80-peaklist.text	CTBP1	K562	216	86	321	235	3.10314496882	2.91042695468	2.69255514817	1.36887393729	6.25869035964
CTBP1-human_K562_ENCFF646WCS-flat80-peaklist.text	CTBP1	K562	440	325	551	226	3.03673163006	2.84401361592	2.73044265417	1.59198305159	4.86321299268
CTBP1-human_K562_ENCFF903XDQ-flat80-peaklist.text	CTBP1	K562	191	95	305	210	3.19762188885	2.92137742925	2.63924507524	1.32248337879	4.23975991248
CTBP1-human_K562_ENCFF903XDQ-flat80-peaklist.text	CTBP1	K562	450	309	570	261	3.10923116263	2.83298670303	2.79589969562	1.68177846914	2.89650740414
CTBP2-human_H1-hESC_ENCFF000WSX-flat80-peaklist.text	CTBP2	H1-hESC	237	169	316	147	5.93337912088	5.18575549451	5.05628155628	2.08756868132	2.46846169715
CTBP2-human_H1-hESC_ENCFF000WSX-flat80-peaklist.text	CTBP2	H1-hESC	445	373	518	145	9.21565934066	8.46803571429	7.69032722415	5.11778846154	3.44230909413
CTBP2-human_H1-hESC_ENCFF000WSX-flat80-peaklist.text	CTBP2	H1-hESC	580	534	645	111	8.31318681319	7.56556318681	6.8188652865	3.42651098901	3.76086691007
CTBP2-human_H1-hESC_ENCFF000WTC-flat80-peaklist.text	CTBP2	H1-hESC	241	159	331	172	15.2533444816	14.5160953177	10.9992907476	4.10545568562	3.75389142364
CTBP2-human_H1-hESC_ENCFF000WTC-flat80-peaklist.text	CTBP2	H1-hESC	474	363	498	135	15.0526755853	14.3154264214	12.2355338875	7.35535117057	2.79639826769
